Data,Open,High,Low,Close,Volume,OI
2016-04-12 00:00:00,2.76,2.88,2.76,2.80,717718,237
2016-04-13 00:00:00,2.84,3.04,2.84,2.84,867733,659
2016-04-14 00:00:00,2.96,3.00,2.88,2.96,909172,2119
2016-04-15 00:00:00,3.00,3.28,2.80,2.88,2243714,1515
2016-04-18 00:00:00,2.96,3.00,2.72,2.80,705232,843
2016-04-19 00:00:00,2.84,2.92,2.72,2.80,613296,334
2016-04-20 00:00:00,2.76,2.92,2.72,2.88,1551119,984
2016-04-22 00:00:00,2.84,3.24,2.80,3.16,1415418,870
2016-04-25 00:00:00,3.08,3.28,3.04,3.08,566402,736
2016-04-26 00:00:00,3.16,3.44,3.04,3.40,711638,753
2016-04-27 00:00:00,3.48,3.60,3.32,3.40,947407,494
2016-04-28 00:00:00,3.40,3.48,3.24,3.24,472940,481
2016-04-29 00:00:00,3.28,3.36,3.20,3.28,344120,862
2016-05-02 00:00:00,3.36,3.36,3.20,3.28,454899,2355
2016-05-03 00:00:00,3.28,3.32,3.00,3.16,923210,2502
2016-05-04 00:00:00,3.20,3.36,3.16,3.28,724349,1494
2016-05-05 00:00:00,3.32,3.36,3.16,3.20,364665,948
2016-05-06 00:00:00,3.20,3.36,3.16,3.36,422744,887
2016-05-09 00:00:00,3.36,3.36,3.16,3.32,603137,1902
2016-05-10 00:00:00,3.40,3.44,3.36,3.36,342644,172
2016-05-11 00:00:00,3.40,3.44,3.36,3.40,171059,1089
2016-05-12 00:00:00,3.40,3.48,3.24,3.28,780176,882
2016-05-13 00:00:00,3.32,3.36,3.20,3.28,2195794,1710
2016-05-16 00:00:00,3.28,3.36,3.16,3.16,2670612,426
